SEND_REASON,CYCLE_COUNT,MIN_VOLTAGE,MAX_VOLTAGE,PROGRAM_NO,TEMP,FINAL_TEMP,HEATER_ON_TIME,ENV_TEMP,INIT_WATER_TEMP,SPIN,SPIN_EXECUTED,DIRT_LEVEL,DELAY_TIME,AUX_FUNC_MSB_H,AUX_FUNC_MSB_L,AUX_FUNC_LSB_H,AUX_FUNC_LSB_L,UNBALANCED_LOAD,SPIN_TRY_COUNT,LOAD_VALVE_MEASURE,VALVE_OPEN_COUNT,EXTRA_RINSE_COUNT,CHILD_LOCK,EFFECTIVE_PROG_TIME,ERROR_5,ERROR_4,ERROR_3,ERROR_2,ERROR_1,INFO,SERVICE_MODE_ENTER_COUNT,DET_DOSE,SOFT_DOSE,SECURITY_RISK,VISIBLE_ERROR_1,VISIBLE_ERROR_2,VISIBLE_ERROR_3,VISIBLE_ERROR_4,VISIBLE_ERROR_5,HIDDEN_ERRORS_1,HIDDEN_ERRORS_2,PRECAUTIONS_1,PRECAUTIONS_2,WARNINGS,HEATER_TO_PUMP_DURATION,HEATER_DURATION_EXCEPT_HEATING_STEP,HEATER_HYSTERESIS_COUNT,MAIN_WASH_VALVE_OPEN_COUNT,MAIN_WASH_START_TEMP,MAIN_WASH_END_TEMP,MAIN_WASH_100RPM_ATTEMPT_COUNT,MAIN_WASH_ACCELERATION,MAIN_WASH_MAX_RPM,MAIN_WASH_MAX_RPM_DURATION,FIRST_RINSE_VALVE_OPEN_COUNT,FIRST_RINSE_START_TEMP,FIRST_RINSE_END_TEMP,FIRST_RINSE_100RPM_ATTEMPT_COUNT,FIRST_RINSE_ACCELERATION,FIRST_RINSE_MAX_RPM,FIRST_RINSE_MAX_RPM_DURATION,SECOND_RINSE_VALVE_OPEN_COUNT,SECOND_RINSE_START_TEMP,SECOND_RINSE_END_TEMP,SECOND_RINSE_100RPM_ATTEMP_COUNT,SECOND_RINSE_ACCELERATION,SECOND_RINSE_MAX_RPM,SECOND_RINSE_MAX_RPM_DURATION,EXTRA_RINSE_VALVE_OPEN_COUNT,EXTRA_RINSE_START_TEMP,EXTRA_RINSE_END_TEMP,EXTRA_RINSE_100RPM_TRY_COUNT,EXTRA_RINSE_ACCELERATION,EXTRA_RINSE_MAX_RPM,EXTRA_RINSE_MAX_RPM_DURATION,LAST_SPIN_ACCELERATION,LAST_SPIN_MAX_REV_DURATION,LAST_SPIN_MAX_REV,LAST_SPIN_100RPM_TRY_COUNT,AWASH_ID,FRICTION,INERTIA,CALIBRATED_FRICTION,CALIBRATED_INERTIA,AFTER_HEAT_VALVE_OPEN_COUNT,CYCLE_COUNT_AFTER_LAST_MOTOR_CALIBRATION,BASE_PROGRAM,DRUM_CAPACITY,COLD_WASH_W_LEVEL_VALUE_F2,COLD_WASH_W_LEVEL_VALUE_F3,MAIN_MACHINE_FEATURES,AVAILABLE_SPIN_LEVELS,PROGRAM_PLANNED_TIME,RINSE_WATER_LEVEL_DEFAULT_VALUE,WASHING_STEP_TIME_DATA_FACTORY_SETTINGS,HEATING_TIME_DATA_FACTORY_SETTINGS,WASHING_OPEN_TIME_DATA_FACTORY_SETTINGS,WASHING_CLOSE_TIME_DATA_FACTORY_SETTINGS,connState
['NORMAL'],127,1090,1130,2,40,33,4,26,25,800,800,MEDIUM,0,[],[],[],['SOFT_DOSAGE'],1481,0,UNMEASURED,1,0,OFF,75,OK,OK,OK,SAFETY_CONNECTIVITY_ERROR,OK,[],0,55,50,OK,[],[],[],[],[],[],[],[],[],[],18,0,0,1,40,33,0,0,3,0,1,31,28,0,0,3,0,0,0,0,0,0,0,0,0,28,0,4,39,60,29,72,58,80,1,7,0,0,0,0,0,117,WOOLEAN,10_KG_(X54+1),32260,23555,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800']",55,45060,0,20,0,0,online
['NORMAL'],128,1050,1120,2,30,28,2,28,25,800,800,MEDIUM,0,[],[],[],"['SOFT_DOSAGE', 'LIQ_DETERGENT']",3644,0,UNMEASURED,1,0,OFF,64,OK,OK,OK,SAFETY_CONNECTIVITY_ERROR,OK,[],0,55,50,OK,[],[],[],[],[],[],[],[],[],[],15,0,0,1,30,28,0,0,3,0,1,28,25,0,0,3,0,0,0,0,0,0,0,0,0,26,0,4,30,60,23,71,54,80,1,7,0,0,0,0,0,118,WOOLEAN,10_KG_(X54+1),32260,23555,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800']",50,45060,0,15,0,0,online
['NORMAL'],129,1070,1120,2,30,28,1,28,24,800,800,MEDIUM,0,[],[],[],"['SOFT_DOSAGE', 'LIQ_DETERGENT']",2906,0,UNMEASURED,1,0,OFF,58,OK,OK,OK,SAFETY_CONNECTIVITY_ERROR,OK,[],0,55,50,OK,[],[],[],[],[],[],[],[],[],[],16,0,0,1,30,28,0,0,3,0,1,28,26,0,0,4,0,0,0,0,0,0,0,0,0,26,0,0,33,60,27,73,61,80,0,7,0,0,0,0,0,119,WOOLEAN,10_KG_(X54+1),32260,23555,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800']",50,45060,0,15,0,0,online
['NORMAL'],130,1080,1130,3,40,46,10,27,25,1200,1150,MEDIUM,0,[],[],[],"['SOFT_DOSAGE', 'LIQ_DETERGENT']",4361,0,UNMEASURED,1,0,OFF,42,OK,OK,OK,SAFETY_CONNECTIVITY_ERROR,OK,[],0,55,50,OK,[],[],[],[],[],[],[],[],[],[],2,0,0,1,46,44,5,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,24,115,3,7,8452,44047,12549,51471,0,120,AUSTRALIA,10_KG_(X54+1),12035,51200,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",38,0,2,10,22,6,online
['NORMAL'],131,1100,1800,1,40,26,0,0,27,600,600,MEDIUM,0,[],[],[],['SOFT_DOSAGE'],2844,0,UNMEASURED,1,1,OFF,152,OK,OK,OK,SAFETY_CONNECTIVITY_ERROR,OK,"['powerCut', 'runAfterCancel']",0,55,50,OK,[],[],[],[],[],[],[],[],[],[],119,0,0,1,0,31,1,34,60,59,1,31,27,3,36,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,115,60,1,7,0,0,0,0,1,121,COTTON_ECO,10_KG_(X54+1),0,0,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",143,62465,0,0,40,1,online
['ERROR'],132,1070,1130,3,60,28,20,30,25,800,220,MEDIUM,0,[],[],[],"['SOFT_DOSAGE', 'LIQ_DETERGENT']",0,1,LIGHT,1,0,OFF,32,OK,OK,SAFETY_CONNECTIVITY_ERROR,OK,OK,[],0,55,50,MEDIUM_RISK,[],[],[],[],[],[],[],['motorSpeedPrecaution'],[],[],5,0,0,1,61,59,1,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37380,13840,41477,21264,0,122,AUSTRALIA,10_KG_(X54+1),12035,51200,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",58,0,0,30,0,0,online
"['NORMAL', 'ERROR']",132,1070,1130,3,60,58,20,30,25,800,800,MEDIUM,0,[],[],[],"['SOFT_DOSAGE', 'LIQ_DETERGENT']",3570,0,UNMEASURED,1,0,OFF,66,SAFETY_CONNECTIVITY_ERROR,OK,OK,OK,OK,[],0,55,50,OK,[],[],[],[],[],[],[],[],[],[],11,0,0,1,61,57,6,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,33,80,4,7,37380,13840,41477,21264,0,122,AUSTRALIA,10_KG_(X54+1),12035,51200,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",58,0,2,30,22,6,online
['NORMAL'],133,1070,1110,3,30,28,0,29,26,800,800,MEDIUM,0,[],[],[],['SOFT_DOSAGE'],2710,0,UNMEASURED,1,0,OFF,29,SAFETY_CONNECTIVITY_ERROR,OK,OK,OK,OK,[],0,55,50,OK,[],[],[],[],[],[],[],[],[],[],2,0,0,1,28,28,5,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28,80,1,7,31492,4623,35589,12047,0,123,AUSTRALIA,10_KG_(X54+1),12035,51200,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",28,0,2,1,22,6,online
['ERROR'],134,1070,1120,3,30,30,1,29,26,800,590,MEDIUM,0,[],[],[],"['SOFT_DOSAGE', 'LIQ_DETERGENT']",0,0,MEDIUM,2,0,OFF,19,OK,OK,OK,OK,OK,[],0,45,45,MEDIUM_RISK,[],[],[],[],[],[],[],['motorSpeedPrecaution'],[],[],0,0,0,2,30,30,1,35,59,2,1,28,25,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7684,43026,11781,50450,0,124,AUSTRALIA,10_KG_(X54+1),12035,51200,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",28,7180,0,2,0,0,online
"['NORMAL', 'ERROR']",134,1070,1200,3,30,30,1,29,26,800,800,MEDIUM,0,[],[],[],"['SOFT_DOSAGE', 'LIQ_DETERGENT']",4131,0,UNMEASURED,2,0,OFF,38,OK,OK,OK,OK,OK,[],0,45,45,OK,[],[],[],[],[],[],[],[],[],[],0,0,0,2,30,30,1,35,59,2,3,28,25,0,32,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,34,80,0,7,7684,43026,11781,50450,0,124,AUSTRALIA,10_KG_(X54+1),12035,51200,"['turbidity', 'flowmeter', 'autodose', 'aquatech']","['600', '800', '1000', '1200']",28,7180,0,2,0,0,online
